seq_no,inside_temp,Outside_temp,outside_RH,Radiation_intensity,Rail_Heating,AHU_Cooling,Fan_speed,inlet_vent_position
118,23.4,27.3,88,25,0,-6,670.8,0
119,23,27,90,15.6,0,-6,649,0
120,22.7,26.8,91,9.3,0,-6,638,0
121,22.5,26.6,91,5.6,0,-5.5,616,0
122,22.2,26.5,93,3.3,0,-5.25,594,0
123,22,26.3,94,2.1,0,-5.25,583,0
124,21.9,26.2,94,1.3,0,-5,561,0
125,21.7,26.1,94,0.8,0,-4.75,539,0
126,21.5,26,95,0.5,0,-4.75,527.8,0
127,21.4,26,95,0.3,0,-4.75,505.8,0
128,21.2,25.9,96,0.2,0,-4.75,484,0
129,21.1,25.8,96,0.1,0,-4.75,470.3,0
130,21,25.8,96,0.1,0,-4.25,448.3,0
131,20.9,25.7,97,0.1,0,-4.25,426.3,0
132,20.8,25.7,97,0,0,-4,404.3,0
133,20.7,25.6,97,0,0,-4.25,382.3,0
134,20.6,25.6,98,0,0,-4.25,357.3,0
135,20.5,25.6,98,0,0,-4,338.3,0
136,20.5,25.4,98,0,0,-4,316.3,0
137,20.4,25.4,99,0,0,-3.75,305.3,0
138,20.2,25.4,99,0,0,-4.25,302.5,0
139,20.2,25.1,99,0,0,-4.25,297,0
140,20.1,25.3,99,0,0,-4.25,294.3,0
141,19.9,25,99,0,0,-4,291.5,0
142,19.8,24.9,100,0,0,-4.25,286,0
143,19.8,24.7,100,0,0,-3.75,283.3,0
144,19.7,24.6,100,0,0,-3.75,280.5,0
145,19.5,24.6,100,0,0,-4.25,440,0
146,19.4,24.5,100,0,0,-4.25,272.3,0
147,19.4,24.5,100,0,0,-4.25,264,0
148,19.4,24.4,100,0,0,-3.75,258.5,0
149,19.3,24.6,100,0,0,-3.75,253,0
150,19.2,24.6,100,0,0,-3.75,244.8,0
151,19.2,24.3,100,0,0,-3.75,242,0
152,19.2,24.2,100,0,0,0,440,0
153,19.7,24.2,100,0,0,0,426.3,0
154,20.1,24.4,100,0,0,0,412.5,0
155,20.4,24.6,100,0,0,0,414.3,0
156,20.6,24.4,100,0,0,0,398.8,0
157,20.8,24.4,100,0,0,0,382.3,0
158,20.9,24.2,100,0,0,0,379.5,0
159,21,24,100,0,0,0,376.8,0
160,21.2,24,100,0,0,0,374,0
161,21.3,24,100,0,0,0,374,0
162,21.4,24,100,0,0,0,374,0
163,21.5,24.1,100,0,0,0,373.8,0
164,21.6,24,100,0,0,0,374,0
165,21.7,24.7,100,0,0.25,0,374,0
166,21.8,24.9,100,0,0.25,0,371.3,0
167,21.9,25.1,100,0,0.25,0,371.3,0
168,22,25.1,99,0,0.5,0,374,0
169,22.1,25.1,99,0,0.25,0,385,0
170,22.1,25,99,0,0.25,0,393,0
171,22.2,25,99,0,1.5,0,401.5,0
172,22.3,25,99,0,9.5,0,412.5,0
173,22.6,25,99,0,9.5,0,420.8,0
174,22.9,24.9,99,0,5.5,0,409.8,0
175,23.3,24.8,99,0,4.75,0,409.8,0
176,23.5,25.1,99,0,3.25,0,407.3,0
177,23.8,25,98,0,2.5,0,409.8,0
178,23.9,25,98,0,0.5,0,423.5,0
179,23.9,24.6,98,0,0.25,0,423.5,0
180,23.9,24.5,99,0.7,2.25,0,541.8,0
181,24.1,24.5,99,2.3,1.25,0,715.5,0
182,24.2,24.7,99,3.8,0,0,759,10
183,24.4,24.8,99,7.6,0,0,770,10
184,24.5,25,99,13,0,0,770.3,10
185,24.7,25.3,99,23.2,0,0,770,10
186,25.1,25.5,100,39.3,0,0,769.8,10
187,25.9,25.9,98,76.7,0,0,770,89
188,26.5,26.3,95,115.9,0,0,770.3,20
189,26.8,26.4,94,128.4,0,0,770.3,20
190,27.4,26.7,92,155.5,0,0,770,20
191,27.5,26.8,92,181.8,0,0,770.5,100
192,27.7,27.2,90,212.8,0,0,770,100
193,28.1,27.5,89,255,0,0,770,100
194,28.6,27.9,87,309.2,0,0,770,100
195,28.8,28.2,86,344.4,0,0,833.5,100
196,28.8,28.2,86,349.2,0,0,880,100
197,29,28.4,85,377.6,0,0,879.8,100
198,29.4,28.4,84,416.5,0,0,880,100
199,29.6,28.5,84,459.4,0,0,880,100
200,30.1,28.8,84,502.5,0,0,879.8,100
201,30.3,29,83,527.9,0,0,880,100
202,30.8,29.2,83,567.6,0,0,879.8,100
203,31.4,29.7,81,629.7,0,0,880,100
204,31.1,29.7,80,629.7,0,0,880,100
205,30.5,29.7,81,585.3,0,0,880,100
206,30.6,29.6,80,568.9,0,0,879.8,100
207,31.4,29.8,79,628.7,0,0,880.3,100
208,31,30,79,710,0,-2.25,847,100
209,30.3,30.2,79,733.1,0,-6.75,836.3,100
210,29.1,29.5,81,642.8,0,-8,814.3,100
211,28.9,29.3,82,552.7,0,-8.25,803,100
212,28.8,29.2,82,489.2,0,-8,781,100
213,29,29.4,81,472.2,0,-8,770.3,100
214,29.4,29.6,81,489.9,0,-8,770,100
215,29.3,29.5,81,484.7,0,-8,770.5,99.7
216,28.7,29.3,81,435.9,0,-8,770,96.8
217,28.9,29.4,81,424.3,0,-8,770.3,92.1
218,29.8,29.6,81,492.1,0,-8.25,769.8,90
219,30.9,29.8,81,602.3,0,-8.25,770,98.4
220,31.1,30.3,79,742.2,0,-8.25,770,92.5
221,30.1,30.2,79,717.4,0,-8.25,770,76.4
222,30.8,30.3,79,740.5,0,-8.75,770,70.2
223,30.2,29.7,80,698.6,0,-9,770.3,85.2
224,30.1,30.2,76,680.6,0,-8.75,769.5,67.4
225,31.2,30.9,75,801.3,0,-8.75,769.8,88.6
226,31.2,30.5,76,862.1,0,-8.75,770,88.6
227,31,30,77,867.7,0,-8.75,770.3,88.6
228,31.2,30,78,873.9,0,-8.75,770.5,86.1
229,30.8,30.3,76,834.5,0,-8.75,769.8,84.9
230,30.6,30.3,77,801.4,0,-8.75,769.8,80.6
231,31,30.5,76,819.7,0,-8.75,769.8,78.5
232,31.2,30.3,75,793.2,0,0,770,83.6
233,31.4,30.5,77,760.1,0,0,770,90.9
234,31.3,30.7,77,724.9,0,0,769.8,95.3
235,30.8,30.4,78,637.9,0,0,770,93.3
236,31.6,30.5,77,597.2,0,0,770,95.1
237,31.8,30.8,75,574.3,0,0,769.8,96.9
238,31.5,30.6,76,547.9,0,0,879.8,97.8
239,31.8,31.1,73,569.4,0,0,880,98.1
240,31.6,30.7,76,543.1,0,0,880,98.6
241,30.9,30.4,77,486.6,0,0,880,93.3
242,30.3,30,79,399.1,0,0,880,80.7
243,31.4,30.3,78,431.3,0,0,880,85.7
244,31,30,79,424.9,0,0,880,95.7
245,30.3,29.6,80,360.6,0,-3.75,880,80.6
246,29.1,29.3,82,289.7,0,-6.5,880,71
247,28.6,29.1,84,245.1,0,-8.75,880.3,65.6
248,28.1,28.8,85,209.9,0,-8.25,828,52.8
249,27.8,28.7,85,184.9,0,-8.25,770,52.1
250,27.6,28.6,85,167.1,0,-8.25,770,52.1
251,27.4,28.6,85,156.2,0,-8.25,769.8,59
252,27.3,28.5,86,151,0,-8.25,770,68.8
253,27.1,28.4,86,143,0,-8.25,770,68.8
254,26.9,28.3,87,133.4,0,-8,769.8,0
255,26.6,28.2,87,120.4,0,-8,769.5,0
256,26.2,28.2,87,104.1,0,-7.25,769.5,0
257,25.8,28.1,88,89.4,0,-7.25,758.8,0
258,25.5,27.9,89,75.7,0,-7.25,748,0
259,25.2,27.8,90,62.5,0,-7,726.3,0
260,24.8,27.7,90,48.6,0,-6.75,704,0
261,24.2,27.7,90,35,0,-6.25,693,0
262,23.8,27.6,91,22.6,0,-6,671,0
263,23.5,27.4,91,13.5,0,-6,649,0
264,23.2,27.5,91,8.5,0,-5.75,638.3,0
265,22.9,27.5,91,5.1,0,-5.75,616,0
266,22.7,27.4,91,3.1,0,-5.75,594.3,0
267,22.5,27.3,91,1.8,0,-5.25,583,0
268,22.3,27.3,92,1.1,0,-5.25,561,0
269,22.1,27.3,92,0.7,0,-5,539,0
270,22,27.2,92,0.4,0,-5,516.5,0
271,21.9,27.1,92,0.2,0,-5,506.3,0
272,21.8,27,93,0.1,0,-4.75,484,0
273,21.7,27,93,0.1,0,-4.75,473,0
274,21.6,26.8,93,0.1,0,-4.75,451,0
275,21.4,26.6,93,0,0,-5,429,0
276,21.3,26.4,93,0,0,-4.5,418,0
277,21.2,26.4,93,0,0,-4.25,396,0
278,21.1,26.2,93,0,0,-4.5,374,0
279,20.9,26.1,94,0,0,-4.25,357.5,0
280,20.8,26,94,0,0,-4.25,332.8,0
281,20.8,25.8,95,0,0,-3.75,316.3,0
282,20.6,25.7,95,0,0,-4,316.3,0
283,20.5,25.8,95,0,0,-4,310.8,0
284,20.4,25.8,95,0,0,-4,305.3,0
285,20.3,25.7,95,0,0,-3.5,305.3,0
286,20.2,25.6,95,0,0,-3.75,299.8,0
287,20.1,25.6,95,0,0,-3.75,294.3,0
288,20,25.7,95,0,0,-3.75,294.3,0
289,19.9,25.4,96,0,0,-3.75,440,0
290,19.8,25.5,96,0,0,-3.75,283.3,0
291,19.8,25.5,96,0,0,-3.75,280.5,0
292,19.7,25.4,97,0,0,-3.5,272.3,0
293,19.7,25.3,97,0,0,-3.5,264,0
294,19.6,25.1,97,0,0,-3.75,261.3,0
295,19.5,24.7,98,0,0,-4.25,253,0
296,19.5,24.6,99,0,0,0,426,0
297,19.9,24.6,99,0,0,0,426.3,0
298,20.3,24.4,100,0,0,0,382.3,0
299,20.6,24.2,100,0,0,0,382.3,0
300,20.8,24.6,100,0,0,0,379.5,0
301,21,24.7,100,0,0,0,376.8,0.5
302,21.2,24.6,100,0,0,0,376.8,0
303,21.4,25,100,0,0,0,374,0
304,21.6,25.1,99,0,0,0,374,0
305,21.8,25.4,97,0,0,0,374,0
306,21.9,25.5,96,0,0,0,374,0
307,22,25.6,96,0,0,0,374,0
308,22.1,25.6,96,0,0,0,371.3,0
309,22.3,25.6,96,0,0,0,371.3,0
310,22.3,25.5,96,0,0,0,371.3,0
311,22.4,25.5,95,0,0,0,371.3,0
312,22.5,25.5,95,0,0,0,368.5,0
313,22.5,25.5,95,0,0.25,0,365.8,0
314,22.6,25.6,94,0,0.5,0,363,0
315,22.7,25.4,95,0,0.25,0,363,0
316,22.7,25.3,96,0,0.25,0,363,0
317,22.8,25.3,96,0,0.25,0,363,0
318,22.8,25.5,95,0,0.25,0,360.3,0
319,22.8,25.5,94,0,2.75,0,360.3,0
320,23,25,97,0,10.75,0,363,0
321,23.3,25,97,0,9.5,0,374,0
322,23.6,24.8,98,0,5,0,385,0
323,23.8,24.6,98,0,4.75,0,396,0
324,24,24.6,99,1,4.5,0,420.8,0
325,24.2,24.8,99,2.9,3.5,0,486.8,0
326,24.5,25.3,98,7.5,0,0,528,61.5
327,24.8,25.9,96,14.9,0,0,572,65.4
328,25.1,26,94,22.5,0,0,605,73.1
329,25.2,26.2,94,29.3,0,0,638,84.1
330,25.5,26.2,94,38.2,0,0,682,85.8
331,25.8,26.3,94,58.3,0,0,715,94.2
332,26,26.5,93,74.2,0,0,748,94.2
333,26.3,26.7,92,100.1,0,0,781.3,99
334,26.5,26.9,91,123.7,0,0,825,99.9
335,26.4,26.9,91,122.3,0,0,858.3,99.9
336,26.4,27,91,127,0,0,879.8,99.9
337,26.6,27,91,131.1,0,0,880,99.9
338,26.8,27,90,147.1,0,0,880,99.9
339,27,27.2,90,162.3,0,0,880,99.9
340,27.1,27.4,89,164.3,0,0,879.8,99.9
341,27.2,27.5,89,168.9,0,0,880,99.9
342,27.5,27.8,88,180.2,0,0,880,99.9
343,27.6,27.9,86,195.8,0,0,880,99.9
344,27.6,28.1,86,203.6,0,0,880,99.9
345,28,28.1,86,236.8,0,0,880,99.9
346,28.3,28.1,85,273.6,0,0,880,99.9
347,29.3,28.8,83,348.8,0,0,879.8,99.9
348,29.2,28.9,84,387.2,0,0,880,99.9
349,29,28.5,84,376.7,0,0,880,99.9
350,29.5,28.8,84,418,0,0,880,99.9
351,29.8,28.9,83,454.1,0,-3.5,880,99.9
352,28.9,28.7,84,439.8,0,-6.25,880.3,99.9
353,28.1,28.5,84,390.2,0,-8.75,880.3,99.9
354,27.9,28.8,84,353.8,0,-8,880,99.9
355,28,28.7,83,364.6,0,-8,880.3,97.5
356,28,28.7,83,363.8,0,-8,880,98.3
357,28.2,29.2,83,376.3,0,-8,880,98.3
358,28.7,29.3,83,423,0,-8,880,99.9
359,28.4,29.2,82,408.8,0,-8,880,99.9
360,28.1,29.4,82,362.2,0,-8,880.3,96.9
361,29,29.6,82,413.1,0,-8.5,880,99.9
362,29.4,29.9,80,448.7,0,-8.5,880.3,99.9
363,30.1,30.1,80,540.9,0,-9,880,99.9
364,30.1,30,78,583.7,0,-9,880,99.9
365,30.6,30.2,79,630.2,0,-9,770.3,99.9
366,29.7,30,80,586.4,0,-8.75,770,99.3
367,29,29.6,81,501.2,0,-8.75,770,99.3
368,28.4,29.3,82,412.1,0,-8.75,770,87.9
369,28.1,29.2,83,341.9,0,-8.25,770,72.5
370,27.9,29.1,83,292.7,0,-8.25,769.8,63.9
371,28.2,29.3,82,300.7,0,-8.25,769.5,61.3
372,28.4,29.5,81,311.3,0,-8.25,770,72.3
373,28.5,29.7,80,316.1,0,-8.25,769.8,74.4
374,28.3,29.4,81,309.1,0,-8.25,770,71.9
375,28.9,29.7,81,339.4,0,-8.25,770,66.7
376,28.7,29.3,82,335.3,0,-8.5,769.8,74.2
377,28.1,29.3,82,294.4,0,-8.5,770,56.6
378,28.7,29.7,81,319.7,0,-8.5,770,57.2
379,30.9,30.9,77,470.2,0,-9,770,86.2
380,29.9,30.4,78,551.3,0,-9.25,770,91.6
381,28.3,30.1,78,407.4,0,-9,770.3,53.4
382,28,29.8,81,311,0,-9,770,32.6
383,27.9,29.8,80,262.5,0,-8.5,770.3,31.9
384,28,29.8,81,247.9,0,-8.5,770,23.8
385,28.4,30,80,270.1,0,-8.5,770.3,33.7
386,28.6,30,81,285.6,0,-8.5,770.3,43
387,28.9,29.9,81,304.1,0,-8.5,770,51.3
388,28.8,29.9,80,302.5,0,-8.5,770,47.2
389,28.2,29.6,81,266.7,0,-8.5,770,40.2
390,28.1,29.6,82,239.6,0,-8.5,770,30.9
391,27.9,29.6,82,218.3,0,-8.5,770,36.9
392,27.8,29.6,83,211.6,0,-8.5,769.8,43.4
393,28,29.5,82,225.6,0,-8.5,770,59
394,27.8,29.4,83,216.2,0,-8.5,770.3,60.1
395,27.5,29.2,84,194.9,0,-8.5,769.8,68.4
396,27,29,85,157.5,0,-8.25,770.8,67.3
397,26.6,28.8,85,129.8,0,-8.25,770.3,67.3
398,26.4,28.7,86,112.7,0,-7.75,769.8,0
399,26.2,28.7,87,110.5,0,-7.5,769.8,0
400,25.9,28.5,88,103.2,0,-7.5,769.5,0
401,25.4,28.2,90,83.7,0,-7.25,758.8,0
402,25,28,89,70.2,0,-7.25,739.5,0
403,24.5,27.9,89,53.7,0,-6.5,726,0
404,24.1,27.7,91,39.6,0,-6.5,704,0
405,23.6,27.4,92,28,0,-6.25,682,0
406,23.3,27.4,92,17.8,0,-6.25,670.8,0
407,22.9,27.2,93,11.2,0,-6.25,649.3,0
408,22.7,27,93,6.7,0,-6,627,0
409,22.4,27,93,4,0,-5,616,0
410,22.2,26.9,93,2.4,0,-5,594,0
411,22.1,26.6,95,1.4,0,-4.75,572,0
412,21.9,26.6,95,0.9,0,-4.5,560.8,0
413,21.7,26.5,94,0.5,0,-4.5,539,0
414,21.6,26.4,94,0.3,0,-4.5,517,0
415,21.4,26.5,93,0.2,0,-4.5,506,0
416,21.3,26.4,93,0.1,0,-4.5,484,0
417,21.2,26.3,94,0.1,0,-4.5,462,0
418,21.2,26.2,94,0.1,0,-4.5,448.3,0
419,21,26.1,95,0.1,0,-4.5,426.3,0
420,20.9,25.9,96,0,0,-4,404.3,0
421,20.8,25.8,96,0,0,-4,382.3,0
422,20.7,25.7,96,0,0,-3.5,360.3,0
423,20.6,25.6,97,0,0,-4,338.3,0
424,20.6,25.4,97,0,0,-4.25,319,0
425,20.5,25.4,97,0,0,-4.25,308,0
426,20.4,25.2,97,0,0,-4.25,305.3,0
427,20.2,25.1,97,0,0,-3.75,302.5,0
428,20.2,25,98,0,0,-3.75,297,0
429,20.1,24.9,98,0,0,-3.25,294.3,0
430,20,24.9,99,0,0,-3.5,294.3,0
431,19.9,24.8,99,0,0,-3.5,286,0
432,19.8,25,99,0,0,-3.5,286,0
433,19.8,25.1,99,0,0,-4.25,440,0
434,19.7,25.1,99,0,0,-4.25,283.3,0
435,19.7,25.3,99,0,0,-4.25,275,0
436,19.7,25.3,99,0,0,-3.75,272.3,0
